Fecha,Region,Temperatura_C
2014-01-01,Carabobo,22.534139270647643
2014-01-01,Miranda,22.246191206210256
2014-01-01,Zulia,25.817972841788617
2014-02-01,Carabobo,22.95940794250771
2014-02-01,Miranda,22.799922541150863
2014-02-01,Zulia,26.40005081046894
2014-03-01,Carabobo,23.671041330294656
2014-03-01,Miranda,23.423996989467526
2014-03-01,Zulia,26.78857114979843
2014-04-01,Carabobo,24.28180182904481
2014-04-01,Miranda,23.940170335080552
2014-04-01,Zulia,27.049604702902855
2014-05-01,Carabobo,24.066972397306643
2014-05-01,Miranda,24.100081547821844
2014-05-01,Zulia,26.2819539456425
2014-06-01,Carabobo,24.059592770410404
2014-06-01,Miranda,24.211661793447263
2014-06-01,Zulia,27.08261863785117
2014-07-01,Carabobo,23.553899501716387
2014-07-01,Miranda,23.83656284434437
2014-07-01,Zulia,27.392151668827523
2014-08-01,Carabobo,23.49938630815899
2014-08-01,Miranda,23.8911743545234
2014-08-01,Zulia,26.733085379059105
2014-09-01,Carabobo,24.007558244831557
2014-09-01,Miranda,24.31945658181894
2014-09-01,Zulia,26.65183417984815
2014-10-01,Carabobo,23.781408909931258
2014-10-01,Miranda,24.20566474661075
2014-10-01,Zulia,25.863891928123508
2014-11-01,Carabobo,23.352953314811998
2014-11-01,Miranda,23.798640071102852
2014-11-01,Zulia,25.428556714388037
2014-12-01,Carabobo,23.26259305406859
2014-12-01,Miranda,23.5680688709636
2014-12-01,Zulia,25.53776835517516
2015-01-01,Carabobo,23.056736156776026
2015-01-01,Miranda,22.875097203094015
2015-01-01,Zulia,25.822137745519058
2015-02-01,Carabobo,23.445898907826233
2015-02-01,Miranda,23.442087272379013
2015-02-01,Zulia,26.17161549132601
2015-03-01,Carabobo,23.130190538757972
2015-03-01,Miranda,22.945512398044855
2015-03-01,Zulia,26.27420800735274
2015-04-01,Carabobo,24.382480104856825
2015-04-01,Miranda,24.470353330329772
2015-04-01,Zulia,26.786130910182237
2015-05-01,Carabobo,24.963951534683133
2015-05-01,Miranda,24.32294293243268
2015-05-01,Zulia,27.058273223844594
2015-06-01,Carabobo,24.046541536805535
2015-06-01,Miranda,23.941394247665528
2015-06-01,Zulia,27.24318031039809
2015-07-01,Carabobo,23.425124603934535
2015-07-01,Miranda,23.614998846365552
2015-07-01,Zulia,26.74841015816793
2015-08-01,Carabobo,23.99039447795343
2015-08-01,Miranda,24.46681508294722
2015-08-01,Zulia,27.330787388846545
2015-09-01,Carabobo,25.189628717775122
2015-09-01,Miranda,25.310225726174963
2015-09-01,Zulia,27.94080206327726
2015-10-01,Carabobo,24.922814143950177
2015-10-01,Miranda,25.417218169834427
2015-10-01,Zulia,26.994776477327605
2015-11-01,Carabobo,23.9337451861893
2015-11-01,Miranda,24.27366949746022
2015-11-01,Zulia,25.950154870629717
2015-12-01,Carabobo,24.36101616163984
2015-12-01,Miranda,23.83310762571699
2015-12-01,Zulia,26.769436908790567
2016-01-01,Carabobo,23.435025750866828
2016-01-01,Miranda,23.349655908492934
2016-01-01,Zulia,26.45871087115887
2016-02-01,Carabobo,24.147919202750586
2016-02-01,Miranda,23.900422359113463
2016-02-01,Zulia,27.47874209444319
2016-03-01,Carabobo,24.52664912619042
2016-03-01,Miranda,24.510941878418578
2016-03-01,Zulia,28.101360098051885
2016-04-01,Carabobo,24.465947976014093
2016-04-01,Miranda,24.808999565707097
2016-04-01,Zulia,27.30642265438496
2016-05-01,Carabobo,24.03218831247409
2016-05-01,Miranda,24.302934823101964
2016-05-01,Zulia,26.885434195380867
2016-06-01,Carabobo,23.619169464143397
2016-06-01,Miranda,23.979229387823693
2016-06-01,Zulia,26.95441029601244
2016-07-01,Carabobo,23.53264358167189
2016-07-01,Miranda,24.03163795501291
2016-07-01,Zulia,26.686701503849235
2016-08-01,Carabobo,24.09093680543947
2016-08-01,Miranda,24.425653434983985
2016-08-01,Zulia,27.49004809960519
2016-09-01,Carabobo,24.01971454660179
2016-09-01,Miranda,24.61011997746823
2016-09-01,Zulia,26.758617500819753
